student,currProb,course,session,priorTutorAction,reward,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime,cumul_F1Score,CurrPro_avgProbTimeDeviationPS,cumul_BlankRatio,BDActionCount,UseWindowInfo,cumul_difficultProblemCountSolved
0131-F14,2.1.1.0,226-001-BARNES-F14,4,PS,0.0,1,1,0,1,1,0,0,1
0131-F14,2.1.2.0,226-001-BARNES-F14,5,WE,0.0,1,0,0,1,1,0,0,1
0131-F14,2.1.3.0,226-001-BARNES-F14,5,PS,161.15214509999998,0,1,1,0,1,0,0,1
0131-F14,3.-1.1.0,226-001-BARNES-F14,5,PS,0.0,1,1,0,1,0,0,0,0
0131-F14,3.-1.2.0,226-001-BARNES-F14,5,WE,0.0,0,0,0,1,0,0,0,0
0131-F14,3.-1.3.0,226-001-BARNES-F14,5,WE,0.0,0,0,0,1,1,0,0,0
0131-F14,3.-1.4.0,226-001-BARNES-F14,5,PS,-167.73109240000002,0,0,0,0,0,0,0,0
0131-F14,4.1.1.0,226-001-BARNES-F14,5,PS,0.0,1,1,1,0,1,0,0,1
0131-F14,4.1.2.0,226-001-BARNES-F14,5,WE,0.0,1,0,1,1,1,0,0,1
0131-F14,4.1.3.0,226-001-BARNES-F14,5,PS,121.25,0,1,1,1,1,0,0,1
0131-F14,5.1.1.0,226-001-BARNES-F14,5,WE,0.0,0,0,0,0,1,0,0,0
0131-F14,5.1.2.0,226-001-BARNES-F14,5,PS,0.0,1,0,1,0,0,0,0,1
0131-F14,5.1.3.0,226-001-BARNES-F14,5,PS,-67.85287081,0,1,1,1,0,0,0,1
0131-F14,6.1.1.0,226-001-BARNES-F14,5,PS,0.0,1,0,1,0,0,0,0,1
0131-F14,6.1.2.0,226-001-BARNES-F14,5,WE,0.0,0,0,1,0,0,0,0,1
0131-F14,6.1.3.0,226-001-BARNES-F14,5,PS,118.3785717,0,1,1,1,0,0,0,1
0135-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,1,1,1,1,0,0
0135-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0.0,1,0,1,0,0,0,0,0
0135-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0,1,1,1,1,1,0,0,0
0135-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368,0,1,1,0,1,0,0,0
0135-F14,2.1.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,0,0
0135-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,1,1,0,0,0
0135-F14,2.1.3.0,226-001-BARNES-F14,1,PS,-75.57938965,0,1,0,0,1,0,0,1
0135-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,0,0,0,0
0135-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,1,1,0,0,0
0135-F14,3.1.3.0,226-001-BARNES-F14,1,PS,0.0,0,1,0,0,0,0,0,1
0135-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,0,0,0,1
0135-F14,3.-1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,0,0,0,1
0135-F14,3.-1.4.0,226-001-BARNES-F14,1,PS,-28.50678733,0,0,0,0,0,0,0,1
0135-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,1,0,0,0,0,1
0135-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,1,1,1,0,0,1
0135-F14,4.1.3.0,226-001-BARNES-F14,1,PS,0.0,0,1,0,1,0,0,0,1
0135-F14,4.-1.3.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,0,0,1
0135-F14,4.-1.3.1,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,0,0,1
0135-F14,4.-1.4.0,226-001-BARNES-F14,1,PS,69.01098901,0,0,1,0,0,0,0,1
0135-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,0,0,1
0135-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,1
0135-F14,5.1.3.0,226-001-BARNES-F14,1,PS,55.81681476,0,1,1,1,0,0,0,1
0135-F14,6.1.1.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,0
0135-F14,6.1.2.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,1,0,0,1
0135-F14,6.1.3.0,226-001-BARNES-F14,1,PS,-27.13857711,0,1,1,1,0,0,0,1
013a-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,1,0
013a-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,0
013a-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,1,0,1,0
013a-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-43.42105263,0,1,0,0,1,0,0,0
013a-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,0,0,0,1
013a-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,1,0,0,0,1
013a-F14,2.1.3.0,226-001-BARNES-F14,1,PS,111.15214509999998,0,1,0,0,0,0,0,1
013a-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,0,0,0,0
013a-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,1,0,0,0,0
013a-F14,3.1.3.0,226-001-BARNES-F14,1,PS,0.0,0,1,0,0,0,0,0,1
013a-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,0,0,0,1
013a-F14,3.-1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,0,1,0,1
013a-F14,3.-1.4.0,226-001-BARNES-F14,1,PS,-109.04977379999998,0,0,0,0,0,0,0,1
013a-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,1,0,0,0,0,1
013a-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,1,1,1,0,0,1
013a-F14,4.1.3.0,226-001-BARNES-F14,1,PS,80.42582418,0,1,1,1,0,0,0,1
013a-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0.0,0,0,1,0,0,0,0,1
013a-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,1
013a-F14,5.1.3.0,226-001-BARNES-F14,1,PS,-34.99231032,0,1,0,1,0,1,0,1
013a-F14,6.1.1.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,0
013a-F14,6.1.2.0,226-001-BARNES-F14,1,PS,0.0,0,0,1,0,1,0,0,0
013a-F14,6.1.3.0,226-001-BARNES-F14,1,PS,0.0,0,1,0,1,1,0,0,0
013a-F14,6.-1.2.0,226-001-BARNES-F14,1,PS,0.0,0,0,1,0,1,0,0,0
013a-F14,6.-1.3.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,1,0,0,0
013a-F14,6.-1.4.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,1,0,0,0
013a-F14,6.-1.4.1,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,0,0,0
013a-F14,6.-1.3.1,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,1,0,0,0
013a-F14,6.-1.3.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,1,0,0,0
013a-F14,6.-1.3.1,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,1,0,0,0
013a-F14,6.-1.3.0,226-001-BARNES-F14,1,PS,3.452735032,0,0,0,0,1,0,0,1
013c-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,1,0
013c-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,0
013c-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,1,1,1,0
013c-F14,1.0.4.0,226-001-BARNES-F14,5,PS,40.78947368,0,1,0,0,1,0,0,0
013c-F14,2.1.1.0,226-001-BARNES-F14,5,PS,0.0,1,1,0,1,0,0,0,1
013c-F14,2.1.2.0,226-001-BARNES-F14,5,WE,0.0,1,0,0,1,0,0,0,1
013c-F14,2.1.3.0,226-001-BARNES-F14,5,PS,-11.71384343,0,1,0,0,0,0,0,1
013c-F14,3.1.1.0,226-001-BARNES-F14,5,WE,0.0,1,1,0,1,1,0,0,0
013c-F14,3.1.2.0,226-001-BARNES-F14,5,WE,0.0,1,0,0,1,1,0,0,0
013c-F14,3.1.3.0,226-001-BARNES-F14,5,PS,23.54572897,0,1,0,0,1,0,0,1
013c-F14,4.1.1.0,226-001-BARNES-F14,5,WE,0.0,1,1,0,0,1,0,0,0
013c-F14,4.1.2.0,226-001-BARNES-F14,5,WE,0.0,1,0,0,1,1,0,0,0
013c-F14,4.1.3.0,226-001-BARNES-F14,5,PS,-112.6213592,0,1,0,1,0,0,0,1
013c-F14,5.1.1.0,226-001-BARNES-F14,5,PS,0.0,0,0,1,0,0,0,0,1
013c-F14,5.1.2.0,226-001-BARNES-F14,5,WE,0.0,1,0,1,0,1,0,0,1
013c-F14,5.1.3.0,226-001-BARNES-F14,5,PS,35.40669856,0,1,1,1,0,0,0,1
013c-F14,6.1.1.0,226-001-BARNES-F14,5,PS,0.0,1,0,0,0,0,0,0,1
013c-F14,6.1.2.0,226-001-BARNES-F14,5,WE,0.0,0,0,0,0,0,0,0,1
013c-F14,6.1.3.0,226-001-BARNES-F14,5,PS,-21.38800698,0,1,0,1,0,0,0,1
0142-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,1,1,1,0
0142-F14,1.0.2.0,226-001-BARNES-F14,3,WE,0.0,1,0,0,0,1,0,0,0
0142-F14,1.0.3.0,226-001-BARNES-F14,4,PS,0.0,1,1,0,1,1,0,0,0
0142-F14,1.0.4.0,226-001-BARNES-F14,6,PS,0.0,0,1,0,0,1,0,1,0
0142-F14,1.0.1.0,226-001-BARNES-F14,6,PS,0.0,1,1,0,1,1,0,1,0
0142-F14,1.0.3.0,226-001-BARNES-F14,8,PS,0.0,1,1,0,1,1,0,0,0
0142-F14,1.0.1.0,226-001-BARNES-F14,8,PS,40.78947368,1,1,0,1,1,0,0,0
0144-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,0,1,0,0
0144-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,0
